DATE,LATITUDE,LONGITUDE,INJURED,KILLED,PED_INJURED,PED_KILLED,CYC_INJURED,CYC_KILLED,MOT_INJURED,MOT_KILLED
05/06/2017,40.586117,-73.93604,1,0,0,0,0,0,1,0
05/06/2017,40.843204,-73.91196,0,0,0,0,0,0,0,0
05/06/2017,40.83932,-73.91503,0,0,0,0,0,0,0,0
05/06/2017,40.71458,-73.93015,0,0,0,0,0,0,0,0
05/06/2017,40.752415,-73.97838,0,0,0,0,0,0,0,0
05/06/2017,40.885334,-73.85015,0,0,0,0,0,0,0,0
05/06/2017,40.714138,-73.948654,0,0,0,0,0,0,0,0
05/06/2017,40.824005,-73.87383,0,0,0,0,0,0,0,0
05/06/2017,40.853962,-73.881516,0,0,0,0,0,0,0,0
05/06/2017,40.68039,-73.94956,0,0,0,0,0,0,0,0
05/06/2017,40.72106,-73.75945,0,0,0,0,0,0,0,0
05/06/2017,40.70052,-74.01551,0,0,0,0,0,0,0,0
05/06/2017,40.845024,-73.92632,0,0,0,0,0,0,0,0
05/06/2017,40.679237,-73.99967,0,0,0,0,0,0,0,0
05/06/2017,40.753914,-73.80674,1,0,0,0,0,0,1,0
05/06/2017,40.87844,-73.90514,0,0,0,0,0,0,0,0
05/06/2017,40.75616,-73.87955,0,0,0,0,0,0,0,0
05/06/2017,40.74196,-73.90831,3,0,0,0,0,0,3,0
05/06/2017,40.712208,-73.98072,0,0,0,0,0,0,0,0
05/06/2017,40.66708,-73.81033,0,0,0,0,0,0,0,0
05/06/2017,40.60023,-73.9956,0,0,0,0,0,0,0,0
05/06/2017,40.702335,-73.81191,0,0,0,0,0,0,0,0
05/06/2017,40.532536,-74.192085,0,0,0,0,0,0,0,0
05/06/2017,40.889774,-73.84438,1,0,0,0,0,0,1,0
05/06/2017,40.722836,-73.95687,0,0,0,0,0,0,0,0
05/06/2017,40.608765,-73.986725,0,0,0,0,0,0,0,0
05/06/2017,40.784916,-73.84213,0,0,0,0,0,0,0,0
05/06/2017,40.7272,-73.74922,0,0,0,0,0,0,0,0
05/06/2017,40.710667,-73.818085,0,0,0,0,0,0,0,0
05/06/2017,40.763363,-73.95925,0,0,0,0,0,0,0,0
05/06/2017,40.732925,-74.00007,0,0,0,0,0,0,0,0
05/06/2017,40.617664,-73.962814,1,0,0,0,0,0,1,0
05/06/2017,40.754974,-73.825966,0,0,0,0,0,0,0,0
05/06/2017,40.74736,-73.886475,0,0,0,0,0,0,0,0
05/06/2017,40.651997,-73.9292,0,0,0,0,0,0,0,0
05/06/2017,40.60032,-73.9429,0,0,0,0,0,0,0,0
05/06/2017,40.725006,-73.74445,0,0,0,0,0,0,0,0
05/06/2017,40.68054,-73.88674,1,0,0,0,0,0,1,0
05/06/2017,40.76314,-73.793236,2,0,0,0,0,0,2,0
05/06/2017,40.810345,-73.93067,0,0,0,0,0,0,0,0
05/06/2017,40.852306,-73.89811,0,0,0,0,0,0,0,0
05/06/2017,40.646706,-73.970955,0,0,0,0,0,0,0,0
05/06/2017,40.61483,-73.99838,0,0,0,0,0,0,0,0
05/06/2017,40.713634,-73.94595,0,0,0,0,0,0,0,0
05/06/2017,40.6764,-73.741325,0,0,0,0,0,0,0,0
05/06/2017,40.703415,-73.82149,0,0,0,0,0,0,0,0
05/06/2017,40.70921,-73.87017,1,0,0,0,0,0,1,0
05/06/2017,40.87548,-73.85758,3,0,0,0,0,0,3,0
05/06/2017,40.764584,-73.815834,0,0,0,0,0,0,0,0
05/06/2017,40.573986,-74.10624,0,0,0,0,0,0,0,0
05/06/2017,40.751446,-74.001434,0,0,0,0,0,0,0,0
05/06/2017,40.697502,-73.93617,1,0,1,0,0,0,0,0
05/06/2017,40.819096,-73.94093,0,0,0,0,0,0,0,0
05/06/2017,40.734135,-73.86918,0,0,0,0,0,0,0,0
05/06/2017,40.73594,-73.85887,1,0,0,0,0,0,1,0
05/06/2017,40.68358,-73.97617,0,0,0,0,0,0,0,0
05/06/2017,40.77041,-73.82468,0,0,0,0,0,0,0,0
05/06/2017,40.66929,-73.842445,0,0,0,0,0,0,0,0
05/06/2017,40.804375,-73.93742,0,0,0,0,0,0,0,0
05/06/2017,40.67816,-73.897484,1,0,0,0,0,0,1,0
05/06/2017,40.632885,-73.94771,0,0,0,0,0,0,0,0
05/06/2017,40.62149,-74.02622,0,0,0,0,0,0,0,0
05/06/2017,40.677654,-73.82866,0,0,0,0,0,0,0,0
05/06/2017,40.682755,-73.79219,0,0,0,0,0,0,0,0
05/06/2017,40.688446,-73.81848,0,0,0,0,0,0,0,0
05/06/2017,40684,-73.95031,0,0,0,0,0,0,0,0
05/06/2017,40.705124,-73.81191,1,0,0,0,0,0,1,0
05/06/2017,40.708904,-73.95926,0,0,0,0,0,0,0,0
05/06/2017,40.8283,-73.92447,0,0,0,0,0,0,0,0
05/06/2017,40.723236,-73.94733,0,0,0,0,0,0,0,0
05/06/2017,40.723022,-73.99882,0,0,0,0,0,0,0,0
05/06/2017,40.64404,-73.877525,0,0,0,0,0,0,0,0
05/06/2017,40.798534,-73.923035,1,0,0,0,0,0,1,0
05/06/2017,40.641365,-73.94179,1,0,0,0,1,0,0,0
05/06/2017,40.820305,-73.89083,1,0,0,0,0,0,1,0
05/06/2017,40.72828,-73.95024,0,0,0,0,0,0,0,0
05/06/2017,40.67417,-73.97883,0,0,0,0,0,0,0,0
05/06/2017,40.860836,-73.87238,0,0,0,0,0,0,0,0
05/06/2017,40.821003,-73.89787,0,0,0,0,0,0,0,0
05/06/2017,40.663906,-73.95098,0,0,0,0,0,0,0,0
05/06/2017,40.71355,-73.73667,0,0,0,0,0,0,0,0
05/06/2017,40.58665,-73.934456,0,0,0,0,0,0,0,0
05/06/2017,40.77981,-73.95035,1,0,0,0,0,0,1,0
05/06/2017,40.84269,-73.88737,0,0,0,0,0,0,0,0
05/06/2017,40.71042,-73.85964,0,0,0,0,0,0,0,0
05/06/2017,40.72626,-73.95522,0,0,0,0,0,0,0,0
05/06/2017,40.826786,-73.892944,0,0,0,0,0,0,0,0
05/06/2017,40.632336,-74.111786,0,0,0,0,0,0,0,0
05/06/2017,40.864864,-73.9225,1,0,0,0,1,0,0,0
05/06/2017,40.72321,-73.99867,0,0,0,0,0,0,0,0
05/06/2017,40.750206,-74.00234,0,0,0,0,0,0,0,0
05/06/2017,40.73883,-73.983154,0,0,0,0,0,0,0,0
05/06/2017,40.756367,-73.96012,0,0,0,0,0,0,0,0
05/06/2017,40.71976,-73.84369,0,0,0,0,0,0,0,0
05/06/2017,40.746037,-73.990524,0,0,0,0,0,0,0,0
05/06/2017,40.82923,-73.87551,1,0,0,0,0,0,1,0
05/06/2017,40.743206,-73.979965,1,0,1,0,0,0,0,0
05/06/2017,40.818832,-73.942276,0,0,0,0,0,0,0,0
05/06/2017,40.67765,-73.87058,1,0,0,0,0,0,1,0
05/06/2017,40.671864,-73.87834,0,0,0,0,0,0,0,0
05/06/2017,40.68632,-73.869095,0,0,0,0,0,0,0,0
05/06/2017,40.84554,-73.93278,0,0,0,0,0,0,0,0
05/06/2017,40.74763,-73.88394,0,0,0,0,0,0,0,0
05/06/2017,40.83898,-73.9186,0,0,0,0,0,0,0,0
05/06/2017,40.608757,-74.038086,0,0,0,0,0,0,0,0
05/06/2017,40.731945,-73.747444,0,0,0,0,0,0,0,0
05/06/2017,40.640236,-73.90598,1,0,1,0,0,0,0,0
05/06/2017,40.586517,-73.967575,1,0,1,0,0,0,0,0
05/06/2017,40.662174,-73.953705,1,0,0,0,0,0,1,0
05/06/2017,40.802753,-73.93358,1,0,1,0,0,0,0,0
05/06/2017,40.616413,-74.103516,1,0,1,0,0,0,0,0
05/06/2017,40.81987,-73.81987,0,0,0,0,0,0,0,0
05/06/2017,40.713287,-73.87163,0,0,0,0,0,0,0,0
05/06/2017,40.743034,-73.85946,1,0,0,0,1,0,0,0
05/06/2017,40.717518,-73.96474,0,0,0,0,0,0,0,0
05/06/2017,40.753788,-73.744286,0,0,0,0,0,0,0,0
05/06/2017,40.728794,-74.00044,1,0,0,0,1,0,0,0
05/06/2017,40.748604,-73.97811,0,0,0,0,0,0,0,0
05/06/2017,40.74106,-73.946106,0,0,0,0,0,0,0,0
05/06/2017,40.698093,-73.91129,0,0,0,0,0,0,0,0
05/06/2017,40.73136,-73.98257,0,0,0,0,0,0,0,0
05/06/2017,40.726986,-73.985756,0,0,0,0,0,0,0,0
05/06/2017,40.678497,-73.75318,0,0,0,0,0,0,0,0
05/06/2017,40.654274,-73.7292,1,0,1,0,0,0,0,0
05/06/2017,40.716145,-73.73118,1,0,0,0,0,0,1,0
05/06/2017,40.752243,-73.70212,0,0,0,0,0,0,0,0
05/06/2017,40.768875,-73.94898,0,0,0,0,0,0,0,0
05/06/2017,40.7615,-73.997826,1,0,0,0,0,0,1,0
05/06/2017,40.69469,-73.83505,0,0,0,0,0,0,0,0
05/06/2017,40.61026,-74.097496,0,0,0,0,0,0,0,0
05/06/2017,40.68064,-73.89672,1,0,1,0,0,0,0,0
05/06/2017,40.66578,-73.91942,3,0,0,0,0,0,3,0
05/06/2017,40.72293,-73.98865,0,0,0,0,0,0,0,0
05/06/2017,40.5843,-74.091576,0,0,0,0,0,0,0,0
05/06/2017,40.78076,-73.825424,0,0,0,0,0,0,0,0
05/06/2017,40.72639,-73.9918,1,0,0,0,1,0,0,0
05/06/2017,40.75226,-73.86822,1,0,1,0,0,0,0,0
05/06/2017,40.682644,-73.97175,0,0,0,0,0,0,0,0
05/06/2017,40.724903,-73.89349,0,0,0,0,0,0,0,0
05/06/2017,40.848114,-73.901474,0,0,0,0,0,0,0,0
05/06/2017,40.871376,-73.86334,0,0,0,0,0,0,0,0
